Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,---,---,---,---,---,---,---,---,---,---,---,---
2001,---,---,---,---,---,---,---,---,---,---,---,---
2002,---,---,---,---,---,---,---,---,---,---,---,---
2003,---,---,---,---,---,---,---,---,---,---,---,---
2004,---,---,---,---,---,---,---,---,---,---,---,---
2005,---,---,---,---,---,---,---,---,---,---,---,---
2006,---,---,---,---,---,---,---,---,---,---,---,---
2007,---,---,---,---,---,---,---,---,---,---,---,---
2008,---,---,---,---,---,---,---,---,---,5292.41811997264,5303.74485752208,5142.33884744265
2009,4833.6852492206,5292.41811997264,5555.76476799697,5490.63602708772,5459.48749882678,5561.42813677168,5470.81423637622,5459.48749882678,5445.32907688999,5612.39845574413,5615.23014013149,5456.65581443942
2010,4828.02188044588,4125.76415238103,5230.12106345076,5244.27948538755,5244.27948538755,5190.47748202775,5292.41811997264,5184.81411325303,5269.76464487378,5351.88349210717,5145.17053183001,5009.24968123681
2011,4332.47711265818,4020.99183004877,4808.20008973438,5099.86358163228,5300.91317313472,5337.72507017038,5272.59632926114,5179.15074447831,5309.40822629679,5320.73496384623,5309.40822629679,5400.02212669226
2012,5170.65569131624,5281.09138242321,5051.72494704719,5167.82400692888,5006.41799684946,5017.74473439889,4966.77441542644,4876.16051503098,4842.18030238268,4901.6456745172,4785.54661463551,4706.25945178948
2013,4219.20973716385,4222.04142155121,4740.23966443778,4952.61599348965,4944.12094032757,5148.00221621737,5037.5665251104,4938.45757155286,5071.5467377587,5097.03189724492,5281.09138242321,5221.62601028869
2014,4241.86321226272,4207.88299961442,5091.36852847021,5408.51717985433,5507.62613341187,5652.04203716715,5643.54698400507,5595.40834941998,5739.82425317525,5977.68574171335,5977.68574171335,6218.3789146388
2015,5111.19031918171,4471.22964763874,5844.59657550751,6376.95324033087,5855.92331305694,6226.87396780088,6003.17090119957,5901.23026325468,5935.21047590298,6014.49763874901,5853.09162866959,5904.06194764203
2016,6348.63639645729,6561.01272550916,6861.17127056914,6869.66632373121,6073.96301088353,6156.08185811692,6045.64616700995,5810.61636285921,5983.34911048807,6088.12143282032,6139.09175179277,5904.06194764203
2017,6088.12143282032,6158.91354250428,6297.66607748484,6283.50765554805,6164.576911279,6164.576911279,6266.5175492239,6269.34923361125,6342.97302768257,6365.62650278144,6592.1612537701,6351.46808084464
2018,5371.70528281868,6054.14122017202,6866.83463934385,6730.91378875065,6385.44829349294,6628.97315080576,6325.98292135842,6195.72543953994,6351.46808084464,6609.15136009425,6705.42862926443,6464.73545633898
2019,5906.89363202939,5640.71529961771,6756.39894823688,6866.83463934385,6946.12180218988,6974.43864606347,6988.59706800026,6923.46832709102,6832.85442669555,7079.21096839573,7220.79518776364,7314.24077254646
2020,7676.69637412832,7520.95373282362,7492.63688895004,7373.70614468099,7399.19130416721,7249.11203163722,7212.30013460156,7198.14171266477,7257.6070847993,7234.95360970043,7181.15160634062,7048.06244013478
2021,7016.91391187384,5592.57666503262,7025.40896503592,6634.63651958047,6467.56714072633,6425.09187491596,6532.69588163557,6371.28987155615,6657.28999467934,6685.60683855292,6447.74535001483,6334.47797452049
2022,5708.67572491431,4904.47735890456,6303.32944625955,6209.88386147673,6294.83439309748,6362.79481839408,6107.94322353183,6090.95311720768,6110.77490791919,6198.5571239273,6025.82437629844,---
