Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,---,---,---,---,---,---,---,---,---,---,---,---
2001,---,---,---,---,---,---,---,---,---,---,---,---
2002,---,---,---,---,---,---,---,---,---,---,---,---
2003,---,---,---,---,---,---,---,---,---,---,---,---
2004,---,---,---,---,---,---,---,---,---,---,---,---
2005,---,---,---,---,---,---,---,---,---,---,---,---
2006,---,---,---,---,---,---,---,---,---,---,---,---
2007,---,---,---,---,---,---,---,---,---,---,---,---
2008,---,---,---,---,---,---,---,---,---,5235.78443222548,5122.51705673115,4808.20008973438
2009,4442.91280376516,4723.24955811363,5000.75462807474,5230.12106345076,5329.2300170083,5504.79444902452,5513.28950218659,5450.99244566471,5487.80434270037,5402.85381107962,5501.96276463716,5366.04191404396
2010,4731.7446112757,4145.58594309254,5054.55663143455,5275.42801364849,5105.526950407,5080.04179092077,5133.84379428058,5247.11116977491,5283.92306681057,5249.94285416227,5048.89326265983,4983.76452175059
2011,4077.62551779594,3802.95213222218,4244.69489665008,4825.19019605853,4961.11104665172,5031.90315633568,4963.94273103908,5181.98242886567,5080.04179092077,5074.37842214606,4995.09125930002,4785.54661463551
2012,4714.75450495155,4782.71493024815,4836.51693360796,5122.51705673115,5006.41799684946,4966.77441542644,4904.47735890456,4955.44767787701,4859.17040870683,4819.52682728381,4709.09113617684,4621.30892016873
2013,4309.82363755932,4168.2394181914,4556.18017925949,4607.15049823194,4983.76452175059,4989.42789052531,4881.82388380569,5003.5863124621,5026.23978756096,4949.78430910229,5085.70515969549,4961.11104665172
2014,3746.31844447502,4049.30867392235,4728.91292688834,5128.18042550586,5317.90327945887,5459.48749882678,5572.75487432111,5550.10139922225,5649.21035277979,5872.91341938109,5867.25005060638,5912.55700080411
2015,4502.37817589968,4009.66509249934,5292.41811997264,5952.20058222713,5940.87384467769,5938.04216029033,5753.98267511205,5816.27973163393,5895.56689447996,5821.94310040864,5799.28962530978,5824.774784796
2016,5810.61636285921,5703.0123561396,5943.70552906505,6181.56701760315,6116.43827669391,6065.46795772146,6008.83426997429,5946.53721345241,6051.30953578467,5949.36889783977,5974.85405732599,5680.35888104073
2017,5552.93308360961,5649.21035277979,5889.90352570524,5898.39857886732,5977.68574171335,6037.15111384787,6221.21059902616,6283.50765554805,6286.3393399354,6130.5966986307,6232.5373365756,6054.14122017202
2018,5063.05168459662,5510.45781779923,6294.83439309748,6102.27985475711,6124.93332985598,6263.68586483654,6079.62637965825,6096.6164859824,6198.5571239273,6359.96313400672,6292.00270871012,6156.08185811692
2019,5467.98255198886,5445.32907688999,6150.41848934221,6393.94334665502,6538.35925041029,6657.28999467934,6730.91378875065,6844.18116424499,6648.79494151726,6855.50790179442,6943.29011780253,6878.16137689329
2020,6827.19105792084,6920.63664270366,6866.83463934385,6914.97327392894,7002.75548993705,6917.8049583163,6940.45843341517,7005.58717432441,7011.25054309913,6999.92380554969,6926.30001147838,6866.83463934385
2021,6716.75536681386,5414.18054862905,6657.28999467934,6527.03251286086,6456.2404031769,6071.13132649617,6198.5571239273,6249.52744289975,6320.3195525837,6226.87396780088,6082.45806404561,5940.87384467769
2022,5419.84391740377,4697.7643986274,5804.95299408449,6008.83426997429,6068.29964210882,6079.62637965825,6048.47785139731,6099.44817036976,6113.60659230655,5974.85405732599,5909.72531641675,---
