Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,---,---,---,---,---,---,---,---,---,---,---,---
2001,---,---,---,---,---,---,---,---,---,---,---,---
2002,---,---,---,---,---,---,---,---,---,---,---,---
2003,---,---,---,---,---,---,---,---,---,---,---,---
2004,---,---,---,---,---,---,---,---,---,---,---,---
2005,---,---,---,---,---,---,---,---,---,---,---,---
2006,---,---,---,---,---,---,---,---,---,---,---,---
2007,---,---,---,---,---,---,---,---,---,---,---,---
2008,---,---,---,---,---,---,---,---,---,---,---,1830.96712486587
2009,1567.33730840281,1584.89375160443,1657.95120879828,1668.4284410315,1916.48399336409,2147.26627093379,2020.40681038014,1870.32753785015,2163.123703503,1775.46611087365,1731.85817130833,1775.46611087365
2010,1999.45234591369,1750.54728826489,1546.94918081383,1653.98685065598,1503.34124124852,1544.96700174268,1554.02839178223,1532.50759043831,1515.23431567542,1485.78479804689,1486.06796648563,1499.94321998369
2011,1523.16303196002,1430.28378405467,1261.51539456812,1337.12136771058,1466.24617577412,1563.65611869925,1705.80667494463,1713.4522227905,1565.35512933166,1496.82836715759,1533.35709575451,1521.74718976634
2012,1473.32538674252,1467.09568109033,1324.66195640621,1469.64419703895,1476.44023956861,1577.5313721973,2042.77711704027,2107.62268951078,1768.95323678272,1422.07189933133,1540.15313828417,1517.21649474657
2013,1495.69569340265,1455.20260666343,1505.88975719714,1502.20856749357,1572.43434030006,2170.48608291013,2332.74159830576,2663.19916631047,2659.23480816817,2650.17341812862,2222.30590719879,2158.87617692196
2014,2034.2820638782,1960.09193292941,1967.45431233654,2071.09396091385,2297.91188034125,2612.51201577676,3055.38745395959,3069.54587589639,2780.14773150837,2908.13986581696,2860.00123123187,2468.37928046022
2015,2263.36533081548,2192.85638957026,2193.139558009,1985.86026085437,2395.03865482764,2629.21895366217,2947.78344723998,2970.43692233885,2671.12788259507,2687.55165204175,2236.74749757431,2360.20893686313
2016,2491.31592399782,2459.88422729815,2455.91986915584,2165.95538789036,2414.57727710041,2486.78522897805,2953.4468160147,3035.56566324809,2525.01296820739,2728.32790721971,2586.7436878518,2465.8307645116
2017,2256.00295140835,2431.00104654709,2436.66441532181,2267.32968895778,1998.03650372001,2399.56934984741,3157.32809190449,3191.30830455279,2681.6051148283,2961.94186917677,2930.79334091583,2248.92374043995
2018,2066.56326589408,2097.71179415502,2507.45652500577,2339.82080927415,2368.13765314774,2564.93971806914,2570.31991840512,2715.30215903786,2593.82289882019,2652.15559719977,2745.6011819826,2205.88213775211
2019,2362.75745281176,2534.92386356314,2500.94365091484,2410.04658208064,2353.12972589474,2733.42493911696,2973.2686067262,3012.91218814922,2902.47649704225,2704.25858992717,2822.05666044127,2614.77736328664
2020,2504.34167217967,2411.17925583558,2374.36735879993,2344.63467273266,2392.20697044028,2423.9218355787,2429.86837279215,2353.12972589474,2492.7317661915,2425.62084621111,2381.16340132959,2193.139558009
2021,2193.139558009,2043.90979079521,2018.42463130899,1947.63252162503,2367.00497939279,2212.39501184303,2348.8821993137,2294.51385907642,2099.69397322617,1911.10379302811,1814.26018698046,1715.15123342292
2022,1694.76310583394,1406.7808036396,1408.47981427201,1662.19873537932,1913.65230897673,2518.50009411646,2632.90014336574,2576.54962405731,2569.75358152765,2510.8545462706,2498.67830340495,---
