Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,---,---,---,---,---,---,---,---,---,---,---,---
2001,---,---,---,---,---,---,---,---,---,---,---,---
2002,---,---,---,---,---,---,---,---,---,---,---,---
2003,---,---,---,---,---,---,---,---,---,---,---,---
2004,---,---,---,---,---,---,---,---,---,---,---,---
2005,---,---,---,---,---,---,---,---,---,---,---,---
2006,---,---,---,---,---,---,---,---,---,---,---,---
2007,---,---,---,---,---,---,---,---,---,---,---,---
2008,---,---,---,---,---,---,---,---,---,---,---,---
2009,---,---,---,---,---,---,---,---,---,---,---,---
2010,---,---,---,---,---,---,---,---,---,---,---,---
2011,---,---,---,---,---,---,---,---,---,---,---,7560.597314246634
2012,6541.19093479765,6796.042529659896,8240.201567212624,7843.765752982463,7560.597314246634,6852.676217407062,6711.091998039147,6569.507778671233,6512.874090924067,6456.240403176901,5861.58668183166,6144.755120567489
2013,5946.537213452409,5946.537213452409,6427.923559303318,6342.973027682569,6654.458310291981,6059.80458894674,7249.112031637223,7560.597314246634,7475.646782625885,7022.577280648559,6937.626749027811,7305.745719384388
2014,6201.388808314655,6796.042529659896,6994.260436774976,6597.824622544816,7135.844656142891,8211.88472333904,8381.785786580538,8240.201567212624,8155.251035591875,7673.864689740965,7390.696251005136,6909.309905154228
2015,6399.606715429735,6739.40884191273,6597.824622544816,6342.973027682569,6597.824622544816,6484.557247050484,7560.597314246634,8523.370005948453,8636.637381442784,8098.617347844709,7872.082596856046,7815.44890910888
2016,6229.705652188238,6512.874090924067,7957.033128476794,7362.379407131554,8410.102630454121,7957.033128476794,7503.963626499468,7419.013094878719,7390.696251005136,7050.894124522142,6937.626749027811,6909.309905154228
2017,6229.705652188238,6711.091998039147,7447.329938752302,7787.132065235297,8580.003693695618,10222.380638363427,10392.281701604925,10392.281701604925,9599.410073144603,8636.637381442784,8353.468942706955,8523.370005948453
2018,6229.705652188238,8211.88472333904,8976.43950792578,8523.370005948453,7730.498377488131,9344.558478282357,9118.023727293694,8636.637381442784,8410.102630454121,7843.765752982463,7815.44890910888,8211.88472333904
2019,8381.785786580538,7475.646782625885,8721.587913063533,8636.637381442784,6088.121432820323,8919.805820178613,10392.281701604925,10420.598545478508,9995.845887374764,9089.70688342011,8863.172132431448,8863.172132431448
2020,10194.063794489844,10307.331169984176,8778.221600810699,8495.05316207487,9004.756351799362,9542.776385397437,9231.291102788025,8806.538444684282,8438.419474327704,8410.102630454121,8240.201567212624,8070.300503971126
2021,8948.122664052196,6965.9435929013935,8126.934191718292,7362.379407131554,7900.399440729629,7843.765752982463,7560.597314246634,8098.617347844709,8013.66681622396,7900.399440729629,8211.88472333904,8523.370005948453
2022,8523.370005948453,7305.745719384388,8523.370005948453,8693.27106918995,8551.686849822036,8693.27106918995,8749.904756937116,8523.370005948453,7957.033128476794,7390.696251005136,6654.458310291981,6739.40884191273
