Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,---,---,---,---,---,---,---,---,---,---,---,---
2001,---,---,---,---,---,---,---,---,---,---,---,---
2002,---,---,---,---,---,---,---,---,---,---,---,---
2003,---,---,---,---,---,---,---,---,---,---,---,---
2004,---,---,---,---,---,---,---,---,---,---,---,---
2005,---,---,---,---,---,---,---,---,---,---,---,---
2006,---,---,---,---,---,---,---,---,---,---,---,---
2007,---,---,---,---,---,---,---,---,---,---,---,---
2008,---,---,---,---,---,---,---,---,---,---,---,---
2009,---,---,---,---,---,---,---,---,---,---,---,---
2010,---,---,---,---,---,---,---,---,---,---,---,---
2011,---,---,---,---,---,---,---,---,---,---,---,7560.59731424663
2012,6541.19093479765,6796.0425296599,8240.20156721262,7843.76575298246,7560.59731424663,6852.67621740706,6711.09199803915,6569.50777867123,6512.87409092407,6456.2404031769,5861.58668183166,6144.75512056749
2013,5946.53721345241,5946.53721345241,6427.92355930332,6342.97302768257,6654.45831029198,6059.80458894674,7249.11203163722,7560.59731424663,7475.64678262588,7022.57728064856,6937.62674902781,7305.74571938439
2014,6201.38880831465,6796.0425296599,6994.26043677498,6597.82462254482,7135.84465614289,8211.88472333904,8381.78578658054,8240.20156721262,8155.25103559187,7673.86468974097,7390.69625100514,6909.30990515423
2015,6399.60671542974,6739.40884191273,6597.82462254482,6342.97302768257,6597.82462254482,6484.55724705048,7560.59731424663,8523.37000594845,8636.63738144278,8098.61734784471,7872.08259685605,7815.44890910888
2016,6229.70565218824,6512.87409092407,7957.03312847679,7362.37940713155,8410.10263045412,7957.03312847679,7503.96362649947,7419.01309487872,7390.69625100514,7050.89412452214,6937.62674902781,6909.30990515423
2017,6229.70565218824,6711.09199803915,7447.3299387523,7787.1320652353,8580.00369369562,10222.3806383634,10392.2817016049,10392.2817016049,9599.4100731446,8636.63738144278,8353.46894270696,8523.37000594845
2018,6229.70565218824,8211.88472333904,8976.43950792578,8523.37000594845,7730.49837748813,9344.55847828236,9118.02372729369,8636.63738144278,8410.10263045412,7843.76575298246,7815.44890910888,8211.88472333904
2019,8381.78578658054,7475.64678262588,8721.58791306353,8636.63738144278,6088.12143282032,8919.80582017861,10392.2817016049,10420.5985454785,9995.84588737476,9089.70688342011,8863.17213243145,8863.17213243145
2020,10194.0637944898,10307.3311699842,8778.2216008107,8495.05316207487,9004.75635179936,9542.77638539744,9231.29110278803,8806.53844468428,8438.4194743277,8410.10263045412,8240.20156721262,8070.30050397113
2021,8948.1226640522,6965.94359290139,8126.93419171829,7362.37940713155,7900.39944072963,7843.76575298246,7560.59731424663,8098.61734784471,8013.66681622396,7900.39944072963,8211.88472333904,8523.37000594845
2022,8523.37000594845,7305.74571938439,8523.37000594845,8693.27106918995,8551.68684982204,8693.27106918995,8749.90475693712,8523.37000594845,7957.03312847679,7390.69625100514,6654.45831029198,6739.40884191273
