Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,---,---,---,---,---,---,---,---,---,---,---,---
2001,---,---,---,---,---,---,---,---,---,---,---,---
2002,---,---,---,---,---,---,---,---,---,---,---,---
2003,---,---,---,---,---,---,---,---,---,---,---,---
2004,---,---,---,---,---,---,---,---,---,---,---,---
2005,---,---,---,---,---,---,---,---,---,---,---,---
2006,---,---,---,---,---,---,---,---,---,---,---,---
2007,---,---,---,---,---,---,---,---,---,---,---,---
2008,---,---,---,---,---,---,---,---,---,5292.418119972644,5303.744857522077,5142.338847442655
2009,4833.685249220601,5292.418119972644,5555.764767996965,5490.636027087724,5459.487498826783,5561.428136771681,5470.814236376216,5459.487498826783,5445.3290768899915,5612.398455744131,5615.230140131489,5456.655814439425
2010,4828.021880445885,4125.764152381028,5230.1210634507615,5244.279485387553,5244.279485387553,5190.477482027745,5292.418119972644,5184.814113253029,5269.764644873778,5351.8834921071675,5145.170531830013,5009.2496812368145
2011,4332.477112658184,4020.9918300487716,4808.200089734376,5099.86358163228,5300.913173134719,5337.725070170376,5272.596329261136,5179.150744478312,5309.408226296793,5320.7349638462265,5309.408226296793,5400.022126692259
2012,5170.655691316238,5281.09138242321,5051.724947047189,5167.8240069288795,5006.417996849456,5017.74473439889,4966.77441542644,4876.160515030975,4842.180302382676,4901.6456745172,4785.54661463551,4706.259451789478
2013,4219.209737163852,4222.04142155121,4740.239664437778,4952.615993489649,4944.120940327574,5148.002216217371,5037.566525110397,4938.457571552857,5071.546737758697,5097.031897244922,5281.09138242321,5221.626010288686
2014,4241.863212262719,4207.882999614419,5091.368528470205,5408.517179854333,5507.6261334118735,5652.042037167147,5643.546984005072,5595.408349419981,5739.824253175254,5977.68574171335,5977.68574171335,6218.378914638804
2015,5111.190319181714,4471.22964763874,5844.59657550751,6376.9532403308685,5855.923313056944,6226.87396780088,6003.1709011995745,5901.230263254676,5935.210475902975,6014.497638749008,5853.091628669586,5904.061947642034
2016,6348.636396457286,6561.0127255091575,6861.171270569136,6869.666323731211,6073.963010883532,6156.081858116922,6045.646167009949,5810.616362859211,5983.349110488067,6088.121432820323,6139.091751792773,5904.061947642034
2017,6088.121432820323,6158.9135425042805,6297.666077484837,6283.5076555480455,6164.576911278997,6164.576911278997,6266.517549223896,6269.349233611254,6342.973027682569,6365.626502781436,6592.1612537700985,6351.468080844645
2018,5371.705282818676,6054.141220172024,6866.834639343853,6730.913788750655,6385.448293492944,6628.973150805757,6325.98292135842,6195.725439539939,6351.468080844645,6609.151360094249,6705.42862926443,6464.735456338976
2019,5906.893632029392,5640.715299617714,6756.39894823688,6866.834639343853,6946.121802189885,6974.438646063468,6988.597068000259,6923.468327091019,6832.854426695553,7079.210968395725,7220.79518776364,7314.240772546463
2020,7676.696374128324,7520.953732823618,7492.636888950035,7373.706144680987,7399.1913041672115,7249.112031637223,7212.300134601564,7198.141712664773,7257.607084799297,7234.953609700431,7181.151606340623,7048.062440134783
2021,7016.913911873842,5592.576665032622,7025.408965035917,6634.636519580473,6467.567140726334,6425.09187491596,6532.695881635575,6371.289871556152,6657.2899946793395,6685.606838552922,6447.745350014826,6334.477974520494
2022,5708.675724914312,4904.477358904558,6303.329446259553,6209.88386147673,6294.834393097479,6362.794818394077,6107.943223531831,6090.953117207681,6110.77490791919,6198.557123927297,6025.824376298441,---
