Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,---,---,---,---,---,---,---,---,---,---,---,---
2001,---,---,---,---,---,---,---,---,---,---,---,---
2002,---,---,---,---,---,---,---,---,---,---,---,---
2003,---,---,---,---,---,---,---,---,---,---,---,---
2004,---,---,---,---,---,---,---,---,---,---,---,---
2005,---,---,---,---,---,---,---,---,---,---,---,---
2006,---,---,---,---,---,---,---,---,---,---,---,---
2007,---,---,---,---,---,---,---,---,---,---,---,---
2008,---,---,---,---,---,---,---,---,---,---,---,1830.9671248658703
2009,1567.3373084028135,1584.8937516044348,1657.9512087982787,1668.4284410315045,1916.4839933640906,2147.266270933791,2020.4068103801399,1870.3275378501505,2163.1237035029976,1775.4661108736477,1731.8581713083302,1775.4661108736477
2010,1999.4523459136885,1750.5472882648949,1546.949180813834,1653.9868506559772,1503.341241248516,1544.967001742683,1554.0283917822294,1532.5075904383066,1515.234315675421,1485.7847980468948,1486.0679664856304,1499.9432199836863
2011,1523.1630319600242,1430.2837840546722,1261.5153945681182,1337.1213677105845,1466.2461757741225,1563.6561186992476,1705.8066749446339,1713.4522227905013,1565.3551293316627,1496.828367157592,1533.357095754514,1521.747189766345
2012,1473.3253867425183,1467.09568109033,1324.661956406208,1469.6441970389524,1476.4402395686125,1577.5313721973032,2042.7771170402702,2107.622689510775,1768.9532367827237,1422.0718993313333,1540.1531382841738,1517.2164947465717
2013,1495.6956934026487,1455.2026066634253,1505.8897571971386,1502.208567493573,1572.4343403000585,2170.4860829101294,2332.7415983057595,2663.199166310472,2659.2348081681703,2650.1734181286233,2222.305907198786,2158.8761769219605
2014,2034.2820638781955,1960.0919329294084,1967.45431233654,2071.093960913853,2297.911880341252,2612.5120157767583,3055.387453959595,3069.5458758963864,2780.147731508369,2908.1398658169637,2860.0012312318727,2468.3792804602213
2015,2263.3653308154812,2192.8563895702596,2193.1395580089957,1985.8602608543688,2395.0386548276415,2629.218953662172,2947.78344723998,2970.436922338846,2671.127882595075,2687.5516520417527,2236.747497574313,2360.2089368631346
2016,2491.3159239978236,2459.8842272981465,2455.919869155845,2165.955387890356,2414.577277100414,2486.7852289780503,2953.446816014696,3035.565663248087,2525.012968207387,2728.3279072197124,2586.743687851798,2465.8307645115988
2017,2256.0029514083494,2431.001046547092,2436.6644153218085,2267.3296889577828,1998.0365037200093,2399.5693498474147,3157.3280919044932,3191.308304552793,2681.6051148283004,2961.9418691767714,2930.79334091583,2248.9237404399537
2018,2066.56326589408,2097.7117941550214,2507.456525005766,2339.8208092741547,2368.1376531477376,2564.939718069139,2570.3199184051196,2715.3021590378644,2593.8228988201936,2652.1555971997745,2745.601181982598,2205.882137752108
2019,2362.757452811757,2534.923863563141,2500.943650914842,2410.0465820806407,2353.129725894739,2733.4249391169574,2973.2686067262043,3012.9121881492206,2902.476497042247,2704.2585899271667,2822.0566604412716,2614.7773632866447
2020,2504.3416721796716,2411.1792558355837,2374.367358799926,2344.634672732664,2392.2069704402834,2423.921835578696,2429.8683727921484,2353.129725894739,2492.7317661915026,2425.6208462111113,2381.163401329586,2193.1395580089957
2021,2193.1395580089957,2043.9097907952137,2018.424631308989,1947.6325216250318,2367.0049793927947,2212.395011843032,2348.8821993137017,2294.5138590764222,2099.693973226172,1911.1037930281097,1814.2601869804564,1715.1512334229162
2022,1694.7631058339366,1406.7808036395984,1408.4798142720133,1662.198735379316,1913.6523089767322,2518.500094116463,2632.900143365738,2576.549624057308,2569.7535815276483,2510.8545462705956,2498.678303404955,---
