,month,Marys,Clair,Detroit,Niagara
0,Jan,1994.678935089285,5098.852265779651,5489.624711235096,5851.428571428571
1,Feb,1944.7401582865161,4930.164781561308,5289.586435585286,5788.571428571429
2,Mar,1939.9869737791646,5522.998134371819,5994.6758480375,5894.285714285714
3,Apr,1916.1401459741974,5726.272620750038,6050.702746273088,6115.714285714286
4,May,2031.0458531497854,5780.6814136214225,5932.176528345091,6318.095238095238
5,Jun,2256.083856676559,5790.187782636126,6006.811638269036,6253.333333333334
6,Jul,2480.3532601553366,5782.299518985628,5940.469318336642,6220.0
7,Aug,2507.598109225134,5837.921890880166,5856.732365739044,6084.285714285714
8,Sep,2356.305257671991,5850.866733793804,5939.255739313488,5857.619047619048
9,Oct,2308.591375745003,5794.947709249163,5988.634921344468,5839.047619047619
10,Nov,2242.1276979102936,5766.0645284981065,5972.211151897791,5876.190476190476
11,Dec,2041.1792379931187,5631.411193773536,5891.117104728396,5963.809523809524
