,month,Marys,Clair,Detroit,Niagara,Deviation,Deviation_init
0,Jan,3191.3083049997003,7011.250542999447,7676.696373999266,8069.999999999252,445.56744778002366,503.8142883121044
1,Feb,3191.3083049998395,7011.250542999726,7676.696373999631,8069.999999999635,445.56744778001183,498.0885627476563
2,Mar,3191.308305,7011.250543,7676.696374,8070.0,445.56744777999995,494.4870107550115
3,Apr,3191.308304999947,7011.250542999899,7676.696373999893,8069.999999999891,445.56744778000376,492.5448368142996
4,May,3191.308304999985,7011.250542999987,7676.696373999987,8069.999999999994,445.5674477800004,491.2682487510468
5,Jun,3191.308305,7011.250543,7676.696374,8070.0,445.56744777999995,487.73883427218516
6,Jul,3191.3083049999977,7011.250542999956,7676.69637399993,8069.99999999995,445.5674477800016,477.32798729735805
7,Aug,3191.308305,7011.250542999919,7676.696373999866,8069.999999999869,445.5674477800034,478.6454964775612
8,Sep,3191.308304999667,7011.250542999458,7676.696373998579,8069.99999999856,445.567447780038,486.7723048817502
9,Oct,3191.3083049999736,7011.250542999962,7676.696373999948,8069.999999999951,445.5674477800016,484.92753000159246
10,Nov,3191.308305,7011.250543,7676.696374,8070.0,445.56744777999995,479.79395052985024
11,Dec,3191.308304999953,7011.250542999952,7676.69637399993,8069.999999999932,445.5674477800024,491.2764803478388
