Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,---,---,---,---,---,---,---,---,---,---,---,---
2001,---,---,---,---,---,---,---,---,---,---,---,---
2002,---,---,---,---,---,---,---,---,---,---,---,---
2003,---,---,---,---,---,---,---,---,---,---,---,---
2004,---,---,---,---,---,---,---,---,---,---,---,---
2005,---,---,---,---,---,---,---,---,---,---,---,---
2006,---,---,---,---,---,---,---,---,---,---,---,---
2007,---,---,---,---,---,---,---,---,---,---,---,---
2008,---,---,---,---,---,---,---,---,---,5235.784432225478,5122.517056731146,4808.200089734376
2009,4442.912803765157,4723.249558113627,5000.75462807474,5230.1210634507615,5329.230017008302,5504.794449024515,5513.289502186591,5450.992445664708,5487.804342700366,5402.853811079617,5501.962764637157,5366.041914043959
2010,4731.7446112757025,4145.585943092537,5054.556631434548,5275.428013648494,5105.526950406997,5080.041790920772,5133.8437942805795,5247.111169774911,5283.923066810569,5249.942854162269,5048.893262659831,4983.764521750591
2011,4077.6255177959374,3802.9521322221835,4244.694896650077,4825.190196058526,4961.111046651724,5031.903156335681,4963.942731039082,5181.982428865671,5080.041790920772,5074.3784221460555,4995.091259300023,4785.54661463551
2012,4714.754504951553,4782.714930248152,4836.516933607959,5122.517056731146,5006.417996849456,4966.77441542644,4904.477358904558,4955.447677877008,4859.170408706826,4819.526827283809,4709.091136176836,4621.308920168729
2013,4309.823637559317,4168.239418191402,4556.180179259489,4607.1504982319375,4983.764521750591,4989.427890525307,4881.823883805691,5003.586312462098,5026.239787560965,4949.7843091022905,5085.705159695489,4961.111046651724
2014,3746.3184444750177,4049.3086739223545,4728.912926888344,5128.180425505863,5317.903279458868,5459.487498826783,5572.754874321115,5550.101399222248,5649.210352779788,5872.913419381093,5867.250050606377,5912.5570008041095
2015,4502.378175899681,4009.6650924993387,5292.418119972644,5952.200582227126,5940.873844677692,5938.042160290334,5753.982675112045,5816.279731633927,5895.56689447996,5821.943100408644,5799.289625309778,5824.774784796003
2016,5810.616362859211,5703.012356139596,5943.7055290650505,6181.567017603147,6116.438276693906,6065.467957721457,6008.834269974292,5946.537213452409,6051.309535784666,5949.368897839767,5974.854057325992,5680.35888104073
2017,5552.933083609607,5649.210352779788,5889.903525705243,5898.398578867318,5977.68574171335,6037.1511138478745,6221.2105990261625,6283.5076555480455,6286.339339935404,6130.596698630698,6232.537336575596,6054.141220172024
2018,5063.051684596622,5510.4578177992325,6294.834393097479,6102.279854757115,6124.933329855981,6263.685864836537,6079.626379658249,6096.616485982398,6198.557123927297,6359.963134006719,6292.00270871012,6156.081858116922
2019,5467.982551988858,5445.3290768899915,6150.418489342205,6393.943346655019,6538.359250410292,6657.2899946793395,6730.913788750655,6844.181164244987,6648.794941517264,6855.50790179442,6943.290117802527,6878.161376893287
2020,6827.191057920837,6920.636642703661,6866.834639343853,6914.973273928944,7002.755489937051,6917.804958316302,6940.458433415169,7005.587174324409,7011.250543099126,6999.923805549693,6926.300011478377,6866.834639343853
2021,6716.7553668138635,5414.1805486290505,6657.2899946793395,6527.032512860858,6456.240403176901,6071.131326496174,6198.557123927297,6249.527442899745,6320.319552583703,6226.87396780088,6082.458064045607,5940.873844677692
2022,5419.843917403767,4697.764398627403,5804.952994084494,6008.834269974292,6068.2996421088155,6079.626379658249,6048.477851397307,6099.448170369757,6113.606592306548,5974.854057325992,5909.725316416751,---
